ticker,cp_name,market,corp_code
000020,동화약품,KOSPI,00119195
000040,KR모터스,KOSPI,00112378
000050,경방,KOSPI,00101628
000070,삼양홀딩스,KOSPI,00126937
000075,삼양홀딩스우,KOSPI,
000080,하이트진로,KOSPI,00150244
000087,하이트진로2우B,KOSPI,
000100,유한양행,KOSPI,00145109
000105,유한양행우,KOSPI,
000120,CJ대한통운,KOSPI,00113410
000140,하이트진로홀딩스,KOSPI,00148993
000145,하이트진로홀딩스우,KOSPI,
000150,두산,KOSPI,00117212
000155,두산우,KOSPI,
000157,두산2우B,KOSPI,
000180,성창기업지주,KOSPI,00133335
000210,DL,KOSPI,00109693
000215,DL우,KOSPI,
000220,유유제약,KOSPI,00144818
000225,유유제약1우,KOSPI,
000227,유유제약2우B,KOSPI,
000230,일동홀딩스,KOSPI,00146083
000240,한국앤컴퍼니,KOSPI,00160047
000250,삼천당제약,KOSDAQ,00128546
000270,기아,KOSPI,00106641
000300,DH오토넥스,KOSPI,00126089
000320,노루홀딩스,KOSPI,00113508
000325,노루홀딩스우,KOSPI,
000370,한화손해보험,KOSPI,00135917
000390,삼화페인트,KOSPI,00129387
000400,롯데손해보험,KOSPI,00113562
000430,대원강업,KOSPI,00111847
000440,중앙에너비스,KOSDAQ,00149770
000480,CR홀딩스,KOSPI,00148984
000490,대동,KOSPI,00109286
000500,가온전선,KOSPI,00104768
000520,삼일제약,KOSPI,00128032
000540,흥국화재,KOSPI,00103176
000545,흥국화재우,KOSPI,
000590,CS홀딩스,KOSPI,00149026
000640,동아쏘시오홀딩스,KOSPI,00116824
000650,천일고속,KOSPI,00151395
000660,SK하이닉스,KOSPI,00164779
000670,영풍,KOSPI,00141307
000680,LS네트웍스,KOSPI,00104698
000700,유수홀딩스,KOSPI,00163691
000720,현대건설,KOSPI,00164478
000725,현대건설우,KOSPI,
000760,이화산업,KOSPI,00145686
000810,삼성화재,KOSPI,00139214
000815,삼성화재우,KOSPI,
000850,화천기공,KOSPI,00166519
