gilticker,corp_name,ESG,E,S,G
095570,AJ네트웍스,B+,C,A,B+
006840,AK홀딩스,A,A,A+,B+
027410,BGF,A,A,A+,B+
282330,BGF리테일,A,A,A+,A
126600,BGF에코머티리얼즈,B,B,B,B
138930,BNK금융지주,A,A+,A+,A
801190,BNK캐피탈,등급없음,등급없음,등급없음,B
001460,BYC,D,D,D,C
001040,CJ,A,A,A+,A
079160,CJ CGV,A,A+,A+,A
035760,CJ ENM,A,B+,A+,B+
311690,CJ 바이오사이언스,B+,C,B+,B+
000120,CJ대한통운,A,A,A+,B+
011150,CJ씨푸드,B+,A,A,B
097950,CJ제일제당,A,A,A,B+
051500,CJ프레시웨이,A,A,A,B+
000590,CS홀딩스,C,D,D,B
012030,DB,C,D,B,C
818158,DB생명보험,등급없음,등급없음,등급없음,B+
005830,DB손해보험,B+,A,A,B+
016610,DB증권,B,C,C,B+
000990,DB하이텍,C,B+,A,D
813363,DGB생명보험,등급없음,등급없음,등급없음,B+
000210,DL,A,A,A+,A
375500,DL이앤씨,A,A,A+,A
007340,DN오토모티브,C,C,C,C
004840,DRB동일,B+,B+,A,B+
155660,DSR,C,C,C,C
069730,DSR제강,C,D,D,B
017940,E1,A,A,A+,B+
383220,F&F,A,A+,A+,B
007700,F&F 홀딩스,A,A+,A+,A
114090,GKL,A,A+,A,A
078930,GS,B+,B+,A,B+
006360,GS건설,A,A,A+,B+
001250,GS글로벌,B+,B+,A,B+
007070,GS리테일,A+,A+,A+,A
012630,HDC,C,A,A+,D
039570,HDC랩스,B,C,A,B
089470,HDC현대EP,B+,B+,A,B+
294870,HDC현대산업개발,A,A,A+,A
009540,HD한국조선해양,A,A,A+,A
267250,HD현대,A,B+,A+,A
267270,HD현대건설기계,A,A,A+,A
071970,HD현대마린엔진,C,C,C,C
010620,HD현대미포,A,A,A+,A
322000,HD현대에너지솔루션,A,B+,A,A
042670,HD현대인프라코어,A+,A+,A+,A
267260,HD현대일렉트릭,A+,A+,A+,A
329180,HD현대중공업,A,A,A+,B+
097230,HJ중공업,A,A,A+,B+
195940,HK이노엔,A+,A,A+,A+
014790,HL D&I,A+,A+,A+,A
028300,HLB,B+,B+,B+,B
003580,HLB글로벌,D,D,D,D
067630,HLB생명과학,C,D,C,C
204320,HL만도,A,A,A+,A
060980,HL홀딩스,A,A,A+,A
011200,HMM,A,A,A+,A
403870,HPSP,C,C,D,C
035000,HS애드,B,C,D,A
002460,HS화성,C,C,C,B+
298050,HS효성첨단소재,A,A,A+,B+
015360,INVENI,B,C,B,B+
095340,ISC,B,C,B+,B
175330,JB금융지주,A,A+,A,A
234080,JW생명과학,B+,B+,A,B
001060,JW중외제약,B+,B+,A,B+
096760,JW홀딩스,B+,B+,A,B+
035900,JYP Ent.,B,A,A+,C
105560,KB금융,A,A+,A+,A
839185,KB라이프생명보험,등급없음,등급없음,등급없음,A
002550,KB손해보험,등급없음,등급없음,등급없음,A
021320,KCC건설,C,C,D,B
036670,KCI,A,A,A,B+
009440,KC그린홀딩스,B,B,B,B
119650,KC코트렐,C,B,B,C
092220,KEC,C,C,D,C
046440,KG모빌리언스,C,C,A,C
003620,KG모빌리티,C,C,D,C
016380,KG스틸,B,B+,A,C
151860,KG에코솔루션,D,C,D,D
035600,KG이니시스,C,C,B+,D
001390,KG케미칼,C,B+,B,C
033180,KH 필룩스,D,C,D,D
060720,KH바텍,A,A,A+,A
015590,KIB플러그에너지,D,C,D,D
001940,KISCO홀딩스,D,C,D,D
025000,KPX케미칼,D,C,D,D
092230,KPX홀딩스,D,C,D,D
000040,KR모터스,D,D,D,D
044450,KSS해운,B+,B+,A,B+
058850,KTcs,A,A,A+,A
058860,KTis,B+,A,B+,B+
043610,KT지니뮤직,C,D,C,C
061970,LB세미콘,C,B+,A,D
093050,LF,B+,B+,B+,B+
003550,LG,A,A,A+,B+
034220,LG디스플레이,B+,B+,A,B+
051900,LG생활건강,A,B+,A+,A
373220,LG에너지솔루션,A,A,A+,B+
032640,LG유플러스,A,A,A+,A
011070,LG이노텍,A,A,A+,A
066570,LG전자,A,A,A+,B+
037560,LG헬로비전,A,A,A+,A
051910,LG화학,B+,B+,A,B+
079550,LIG넥스원,A,A,A+,A
006260,LS,A,A,A,A
000680,LS네트웍스,B+,B,A,B+
060370,LS마린솔루션,C,C,C,B
229640,LS에코에너지,C,D,C,B
078020,LS증권,C,D,D,B
108320,LX세미콘,B+,B+,A,B+
001120,LX인터내셔널,A,B+,A+,B+
108670,LX하우시스,A,A,A,B+
383800,LX홀딩스,B+,A,A,B+
023150,MH에탄올,D,D,D,C
035420,NAVER,A,A,A+,A
060250,NHN KCP,B,B,B,B
