ticker,corp_name,매출액증가율(YoY),매출액증가율_순위,매출액증가율_하위(%),영업이익증가율(YoY),영업이익증가율_순위,영업이익증가율_하위(%),ROE,ROE_순위,ROE_하위(%),영업이익률,영업이익률_순위,영업이익률_하위(%),유동비율,유동비율_순위,유동비율_하위(%),부채비율,부채비율_순위,부채비율_하위(%)
60310,3S,4.151,1194.0,47.61,-46.617,1758.0,69.09,5.52,1012.0,39.77,-20.09,2175.0,86.93,184.322,1111.0,44.45,31.69,1851.0,72.46
95570,AJ네트웍스,8.289,926.0,36.91,-7.241,1245.0,48.92,5.004,1079.0,42.41,7.18,673.0,26.87,48.245,2390.0,95.67,287.127,178.0,6.93
6840,AK홀딩스,0.192,1509.0,60.18,-53.311,1824.0,71.69,-1.306,1687.0,66.33,2.9,1244.0,49.7,50.349,2378.0,95.19,328.655,144.0,5.6
54620,APS,128.918,55.0,2.15,21.681,763.0,29.96,-1.531,1699.0,66.8,-24.09,2207.0,88.2,64.811,2277.0,91.15,83.067,1060.0,41.48
265520,AP시스템,-3.164,1719.0,68.56,-21.508,1436.0,56.43,15.742,256.0,10.03,9.13,513.0,20.47,190.684,1075.0,43.01,78.224,1137.0,44.5
211270,AP위성,18.606,554.0,22.07,-27.514,1537.0,60.4,10.413,528.0,20.73,12.45,334.0,13.31,405.827,484.0,19.34,28.451,1913.0,74.89
109960,AP헬스케어,2.458,1310.0,52.23,412.534,84.0,3.26,-9.513,1966.0,77.3,5.89,824.0,32.91,169.226,1210.0,48.42,10.944,2354.0,92.17
139050,BF랩스,-39.791,2421.0,96.57,315.751,117.0,4.56,-73.694,2453.0,96.46,-56.83,2354.0,94.08,39.75,2419.0,96.84,95.087,920.0,36.0
27410,BGF,21.8,488.0,19.43,-8.817,1262.0,49.59,4.883,1092.0,42.92,12.72,321.0,12.79,272.671,739.0,29.56,16.146,2220.0,86.92
282330,BGF리테일,6.15,1055.0,42.06,-0.611,1128.0,44.32,17.287,213.0,8.34,2.89,1250.0,49.94,81.149,2131.0,85.3,187.349,369.0,14.41
126600,BGF에코머티리얼즈,27.535,381.0,15.16,-18.511,1399.0,54.97,3.328,1260.0,49.53,3.85,1094.0,43.7,181.422,1124.0,44.97,44.807,1597.0,62.51
138930,BNK금융지주,3.8,1217.0,48.52,9.329,938.0,36.85,6.874,858.0,33.71,8.73,542.0,21.63,,,,1267.746,15.0,0.55
1460,BYC,-1.897,1635.0,65.2,-13.33,1324.0,52.03,3.395,1251.0,49.17,14.43,265.0,10.56,256.172,799.0,31.96,26.755,1946.0,76.18
13720,CBI,-22.037,2281.0,90.98,78.836,393.0,15.41,-26.816,2220.0,87.29,5.76,840.0,33.55,132.966,1541.0,61.67,35.212,1779.0,69.64
83790,CG인바이츠,48.673,203.0,8.06,25.557,724.0,28.43,-38.941,2336.0,91.86,-535.12,2486.0,99.36,94.828,1963.0,78.57,115.619,748.0,29.26
1040,CJ,5.547,1095.0,43.66,24.934,734.0,28.82,0.848,1533.0,60.27,5.84,831.0,33.19,81.027,2134.0,85.42,167.643,441.0,17.23
79160,CJ CGV,26.655,398.0,15.84,54.759,491.0,19.27,-41.879,2351.0,92.45,3.88,1087.0,43.42,45.731,2400.0,96.08,593.03,74.0,2.86
35760,CJ ENM,19.756,527.0,20.99,-815.586,2493.0,97.99,-14.788,2066.0,81.24,2.0,1390.0,55.54,76.281,2184.0,87.42,153.302,511.0,19.98
311690,CJ 바이오사이언스,-37.821,2415.0,96.33,6.814,992.0,38.97,-44.003,2367.0,93.08,-987.76,2501.0,99.96,414.364,471.0,18.82,28.105,1921.0,75.21
120,CJ대한통운,2.965,1279.0,51.0,10.501,919.0,36.1,6.49,896.0,35.21,4.38,1018.0,40.66,92.875,1987.0,79.54,130.591,649.0,25.38
11150,CJ씨푸드,30.582,339.0,13.49,5.279,1015.0,39.87,6.209,930.0,36.55,2.25,1350.0,53.94,101.542,1897.0,75.93,106.962,821.0,32.12
97950,CJ제일제당,1.156,1426.0,56.86,20.241,779.0,30.59,3.012,1302.0,51.18,5.29,903.0,36.07,85.834,2068.0,82.78,146.267,548.0,21.43
51500,CJ프레시웨이,4.897,1145.0,45.65,-5.269,1206.0,47.38,6.983,839.0,32.97,2.92,1241.0,49.58,80.233,2142.0,85.74,276.609,195.0,7.6
58820,CMG제약,5.53,1097.0,43.74,-66.403,1942.0,76.33,1.419,1476.0,58.03,1.03,1525.0,60.94,180.668,1126.0,45.05,60.089,1359.0,53.19
23460,CNH,9.692,861.0,34.32,834.244,37.0,1.42,-275.572,2532.0,99.57,-42.75,2311.0,92.36,,,,-1633.28,2551.0,99.88
56730,CNT85,33.624,307.0,12.21,-259.673,2390.0,93.94,-1.881,1714.0,67.39,-2.1,1778.0,71.05,379.143,532.0,21.27,25.886,1969.0,77.09
65770,CS,10.431,823.0,32.8,-87.32,2069.0,81.32,6.077,951.0,37.37,-0.54,1703.0,68.05,393.564,503.0,20.1,28.962,1902.0,74.46
83660,CSA 코스믹,-18.404,2224.0,88.71,-36.12,1655.0,65.04,-32.17,2283.0,89.77,-10.37,2031.0,81.17,159.73,1305.0,52.22,109.834,800.0,31.3
590,CS홀딩스,-17.454,2204.0,87.91,16.652,832.0,32.68,10.447,523.0,20.54,15.72,220.0,8.76,1125.134,121.0,4.81,9.295,2404.0,94.12
