ticker,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20
060310,대주주(2회),이력(2회),주가상승을(2회),주주들을(2회),있다웨이퍼홀딩스(2회),경영권(2회),프리미엄도(2회),주가가(2회),관계자의의도적(2회),대표이사도(2회),주가를(2회),의지가(2회),거래량도(2회),주가조작도(2회),불공정거래이자(2회),반도(2회),기대감(2회),의도(2회),개인투자자(2회),주가하락에(1회)
054620,상법계정시(1회),고발(1회),순위(1회),배임(1회),혐의(1회),결단(1회),싹다(1회),운명(1회),시스템(1회),오랜주주(1회),집값(1회),규제하는거(1회),회장은(1회),혼날때가(1회),그룹(1회),전체를(1회),날려(1회),버려(1회),3일(1회),1순위(1회)
265520,무상증자(4회),시스템(2회),시디즈(2회),거래량도(2회),상법개정하면(1회),고소할(1회),인간있냐(1회),장비인가요(1회),고온(1회),열처리로(1회),군고구마(1회),겉바속촉(1회),기계인가요(1회),탈출하려고(1회),팔아보려고(1회),기를쓰네(1회),에라이(1회),미친거(1회),거래랑(1회),망으로(1회)
211270,상폐하자(2회),재명이형(2회),손절(1회),주작짓거리(1회),기레기주식은(1회),거지같은(1회),안올라(1회),망했다(1회),하방신호(1회),급락(1회),예상(1회),,,,,,,,,
109960,상폐인가(1회),껍데기만(1회),남은회사(1회),뭐하는것두(1회),없구(1회),,,,,,,,,,,,,,,
139050,이건(2회),오징어게임이(2회),경영진(1회),불가사리(1회),게임이다(1회),살기(1회),죽음을(1회),외면할(1회),불가사리는(1회),살아남아(1회),응징한다(1회),열배로(1회),,,,,,,,
027410,문자(7회),편법(5회),회장(4회),주가(3회),인간들(3회),증여(3회),지분(3회),BGF(3회),대주주(2회),폭락(2회),회장직(2회),주식회사(2회),부자(2회),고스톱도(2회),주가조작(2회),국정조사(2회),법망(2회),비지에프리테일(2회),상속(2회),공매도(2회)
282330,편의점(2회),양강중에도(2회),세븐일레븐(2회),이마트(2회),런칭도(2회),기존점도(2회),크게갈려면(1회),털고가야지(1회),양강으로(1회),재편중이고(1회),주도권은(1회),업계(1회),구조조정은(1회),기회임(1회),돈안되는(1회),점포들(1회),매출(1회),수익(1회),적자로(1회),악순환(1회)
126600,상법개정(1회),전국민(1회),소비쿠폰(1회),지급(1회),상법개정안(1회),방침(1회),코프라때(1회),배당금이(1회),인수한뒤(1회),반토막(1회),가족들(1회),악덕(1회),기업인(1회),홍가(1회),일가(1회),세무(1회),철저히조사(1회),응징해주시길(1회),이재명정부(1회),소액주주들(1회)
001460,1주(4회),소액주주(2회),완전동일함에도(2회),대주주의결권강화(2회),상법개정안의(1회),방정식(1회),대주주(1회),보통주(1회),우선주(1회),주식(1회),경영권프리미엄(1회),우선주는(1회),무시당해왔다(1회),판이(1회),완전히(1회),바뀌는(1회),1주의(1회),,,
013720,오늘장막판에(1회),보합으로올려(1회),마감했으니내일은큰폭하락마감이다(1회),계속(1회),내려가기만(1회),할건데(1회),마감했으니내일은큰폭하락마감(1회),,,,,,,,,,,,,
083790,인바이츠(5회),최저가(4회),무상증자(4회),적자(3회),토막(3회),경축(3회),주주님들(3회),화력(3회),마이너스(2회),중명씨도(2회),토막도(2회),비대위(2회),주주제안이라도(2회),수익도(2회),참고(2회),갱신이(2회),코앞입니다힘드시더라도(2회),여러분들(2회),축하드립니다(2회),농약도(2회)
001040,위로(2회),영감(2회),홀딩(2회),무지성(2회),가자(2회),으으으(1회),힘이없노(1회),올리브영(1회),합병이야기(1회),곧나오나(1회),전고(1회),가즈아(1회),월봉만(1회),와이카노(1회),힘빠지면(1회),맴이(1회),아파(1회),시장의(1회),관심(1회),상법개정(1회)
079160,매도(8회),기관(3회),매각매도(2회),쥬라기(2회),아바타도(2회),주식투자(2회),CGV(2회),영화(2회),연속(1회),손실처리(1회),손실(1회),강제(1회),외국인(1회),개인(1회),주가(1회),진바닥(1회),시장에서(1회),상승(1회),공윈이(1회),기사(1회)
035760,바뀌어도(2회),고발해도(2회),조치도(2회),계속(1회),절대로(1회),못올라가게(1회),누르는거(1회),이주식세력들은(1회),무서운게(1회),정말공매천국(1회),주식지옥(1회),버릇(1회),진짜(1회),지저분하네(1회),주가조작(1회),회사(1회),승계회사(1회),PBR(1회),이주식세력(1회),자식(1회)
000120,상법(8회),개정안(4회),회기(3회),대한통운(2회),단독(2회),임시국회(2회),민주당(2회),본회의를(2회),선출(2회),오기형(2회),6월(2회),개잡주긴한데(1회),상법계정(1회),뚜드려(1회),맞으면(1회),개털리는게(1회),배당을(1회),상장이래(1회),안됨(1회),안정적인(1회)
011150,석모도(2회),상말자(2회),공매도(2회),모래방사선(1회),북한(1회),의혹(1회),대차잔고(1회),뉴스(1회),식품주(1회),사조(1회),북핵(1회),폐기물(1회),코스피주가하고는(1회),꺼꾸로가네주가가(1회),그룹이니었어면(1회),분기적자면(1회),동전주간다(1회),3000천이넘어는데(1회),500원갔을거다(1회),2분기적자면(1회)
