ticker,corp_name,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20
060310,3S,키보드(36),마우스(25),무선(22),디바이스(20),체험(14),뷰티(13),제품(12),브랜드(11),블루투스(11),중국(10),접점(10),체험형(9),기반(9),입점(9),,,,,,
095570,AJ네트웍스,태양광(26),지붕형(14),에너지(11),비전(11),렌탈(8),시공(7),전기요금(5),초기(5),오너(5),전력(4),연간(4),기존(4),,,,,,,,
006840,AK홀딩스,매각(9),주가(7),인수(5),회사(4),검토(4),화장품(4),부동산(4),직원(3),준비(3),,,,,,,,,,,
054620,APS,게이밍(17),블루투스(16),무선(15),인텔(13),고성능(12),하드웨어(8),듀얼(8),상반기(7),코어(7),울트라(7),스피커(7),헤드폰(7),,,,,,,,
265520,AP시스템,디스플레이장비(40),상장기업(40),브랜드평판지수(32),빅데이터(30),브랜드평판(18),참여지수(18),미디어지수(18),소통지수(18),커뮤니티지수(18),시장지수(18),사회공헌지수(16),파운드리(13),,,,,,,,
211270,AP위성,이란(27),트럼프(15),핵시설(12),포르도(11),지하(11),이스라엘(11),미국(8),공습(8),막사르(7),환기구(7),법안(6),시설(6),구멍(6),폭격기(6),벙커버스터(6),피해(6),파타(6),화이트맨(6),감세(5),정부(5)
109960,AP헬스케어,여성(26),리옹(26),프랑스(24),올랭피크(23),선대(19),지난해(17),여자(17),프로축구(16),시즌(15),사진(15),미국(14),미셸(13),글로벌(13),구본무(13),연속(11),여자축구(11),,,,
139050,BF랩스,결제(16),시스템(5),플랫폼(4),기술(4),수익(4),솔루션(3),사업(3),디지털(2),간편결제(2),구조(2),음성인식(2),챗봇(2),국내(2),,,,,,,
027410,BGF,건기식(274),편의점(128),시장(93),일자리(92),판매(89),전국(85),물류센터(80),신규(80),건강(76),상품(72),점포(64),내년(63),건강기능식품(58),,,,,,,
282330,BGF리테일,일자리(78),편의점(73),건기식(69),물류센터(64),시장(45),지역(44),연면적(43),투자(41),대규모(40),투자유치(39),리테일(35),박형준(35),첨단(35),건립(33),기반(33),,,,,
126600,BGF에코머티리얼즈,해외(7),글로벌(6),단일(3),식품(3),수출(3),중국(3),불닭(3),제품(3),오뚜기(2),미국(2),문화(2),가치(2),사례(2),소스(2),,,,,,
138930,BNK금융지주,금융(19),성장(17),지배구조(16),가치(15),대응(15),리스크(14),사회(13),경제(12),관리(12),지역(12),여성(12),고도화(11),책임(11),할인(11),,,,,,
001460,BYC,비첩(6),순환(6),단하(6),여름잠옷(4),에센스(4),미노스(4),파이토클린(4),세트(3),멜론우유(3),반팔(3),리플(3),미백(3),피부(3),칸탈로프(2),멜론(2),면레이온(2),,,,
013720,CBI,실적(5),알루미늄(4),전기차(3),자동차(2),신규(2),계약(2),완성차(2),유럽(2),시장(2),부품(2),매출(2),경영(2),,,,,,,,
083790,CG인바이츠,공시(7),기업설명회(4),결정(3),설명(3),자기주식(2),전환가액(2),기관투자자(2),상장적격성(2),상장폐지(2),지속가능경영보고서(2),설립(2),변경(2),,,,,,,,
001040,CJ,공급망(114),전략(109),안전(108),기후변화(86),콘텐츠(85),대응(85),환경(81),시스템(78),관리(77),식품안전(76),글로벌(70),협력사(68),확대(68),핵심(67),구축(66),체계(59),온실가스(55),,,
079160,CJ CGV,차세대(152),고객(133),시스템(131),영화(98),예매(82),운영(79),극장(57),콘텐츠(44),경험(40),,,,,,,,,,,
035760,CJ ENM,콘텐츠(60),제작(22),글로벌(20),애니메이션(13),기술(12),드라마(11),원천(11),기획(11),배당금(10),영화(8),통합(8),중간(8),결산(8),제공(6),장편(6),,,,,
311690,CJ 바이오사이언스,채용(10),플랫폼(4),서비스(3),공고(3),지원자(3),시험(3),면접(2),인재(2),중소기업(2),기반(2),구직자(2),온라인(2),,,,,,,,
000120,CJ대한통운,건설부문(6),협력사(6),기준(5),공종(4),우수(4),건설(4),철골(3),현황(3),안전보건(3),관리(3),역량(3),지원(3),재무(3),금융비용(3),,,,,,
011150,CJ씨푸드,물류(5),비상장(3),식자재(3),지배구조(2),수익(2),포장(2),유통(2),,,,,,,,,,,,,
097950,CJ제일제당,배당금(10),결산(8),남원(4),브랜드(3),지급(3),바이오(3),남원시(3),바이오기업(3),,,,,,,,,,,,
051500,CJ프레시웨이,공급망(111),안전(107),전략(96),기후변화(85),대응(81),식품안전(76),관리(64),환경(63),체계(59),온실가스(55),컴플라이언스(54),윤리(53),식품(53),리스크(53),이슈(52),준법(52),,,,
058820,CMG제약,유럽(5),특허(4),임상(4),치료제(3),주가(3),바이러스(3),바이러스성(2),감염(2),글로벌(2),계약(2),급등(2),질환(2),,,,,,,,
023460,CNH,달러(49),환율(33),트럼프(15),금리(11),금지(10),위안(8),대통령(8),역외(7),미국(7),인하(7),유로(6),금융정보(6),제조업(6),무역(6),서울(5),,,,,
056730,CNT85,자사주(22),공시(10),보유(9),보고서(7),처분(5),의무(4),사업보고서(4),계획(3),자기주식(2),자본시장법(2),,,,,,,,,,
065770,CS,일본(19),글로벌(19),온라인(18),이커머스(16),물류(15),판매(14),개발(14),업무(13),수출(13),상품(11),신고(11),관리(11),크로스보더(10),플랫폼(10),통합(10),,,,,
083660,CSA 코스믹,화장품(8),단기(4),과열(3),이격도(3),수출액(3),급등세(2),주가(2),대비(2),종목(2),바이오(2),전통(2),콘텐츠(2),,,,,,,,
000590,CS홀딩스,거래일(9),주가(7),중국(3),지주사(2),,,,,,,,,,,,,,,,
012030,DB,외국인(441),자동차보험(331),대상(259),서비스(213),금지(111),해외(93),시장(83),보험(77),서울(73),,,,,,,,,,,
005830,DB손해보험,외국인(442),자동차보험(342),가입(120),해외(99),보험(88),시장(75),고객(74),특화(70),전략적(69),,,,,,,,,,,
016610,DB증권,이사회(17),댓글(14),발행(14),보안(8),각자대표(8),,,,,,,,,,,,,,,
000990,DB하이텍,창업주(9),명예회장(3),지분(3),부회장(3),종합증권사(3),종합자산운용(3),계열사(3),김준기(2),그래픽(2),기자(2),,,,,,,,,,
