ticker,corp_name,매출액증가율(YoY),매출액증가율_순위,매출액증가율_하위(%),영업이익증가율(YoY),영업이익증가율_순위,영업이익증가율_하위(%)
060310,3S,4.151,1194.0,47.61,-46.617,1758.0,69.09
095570,AJ네트웍스,8.289,926.0,36.91,-7.241,1245.0,48.92
006840,AK홀딩스,0.192,1509.0,60.18,-53.311,1824.0,71.69
054620,APS,128.918,55.0,2.15,21.681,763.0,29.96
265520,AP시스템,-3.164,1719.0,68.56,-21.508,1436.0,56.43
211270,AP위성,18.606,554.0,22.07,-27.514,1537.0,60.4
109960,AP헬스케어,2.458,1310.0,52.23,412.534,84.0,3.26
139050,BF랩스,-39.791,2421.0,96.57,315.751,117.0,4.56
027410,BGF,21.8,488.0,19.43,-8.817,1262.0,49.59
282330,BGF리테일,6.15,1055.0,42.06,-0.611,1128.0,44.32
126600,BGF에코머티리얼즈,27.535,381.0,15.16,-18.511,1399.0,54.97
138930,BNK금융지주,3.8,1217.0,48.52,9.329,938.0,36.85
001460,BYC,-1.897,1635.0,65.2,-13.33,1324.0,52.03
013720,CBI,-22.037,2281.0,90.98,78.836,393.0,15.41
083790,CG인바이츠,48.673,203.0,8.06,25.557,724.0,28.43
001040,CJ,5.547,1095.0,43.66,24.934,734.0,28.82
079160,CJ CGV,26.655,398.0,15.84,54.759,491.0,19.27
035760,CJ ENM,19.756,527.0,20.99,-815.586,2493.0,97.99
311690,CJ 바이오사이언스,-37.821,2415.0,96.33,6.814,992.0,38.97
000120,CJ대한통운,2.965,1279.0,51.0,10.501,919.0,36.1
011150,CJ씨푸드,30.582,339.0,13.49,5.279,1015.0,39.87
097950,CJ제일제당,1.156,1426.0,56.86,20.241,779.0,30.59
051500,CJ프레시웨이,4.897,1145.0,45.65,-5.269,1206.0,47.38
058820,CMG제약,5.53,1097.0,43.74,-66.403,1942.0,76.33
023460,CNH,9.692,861.0,34.32,834.244,37.0,1.42
056730,CNT85,33.624,307.0,12.21,-259.673,2390.0,93.94
065770,CS,10.431,823.0,32.8,-87.32,2069.0,81.32
083660,CSA 코스믹,-18.404,2224.0,88.71,-36.12,1655.0,65.04
000590,CS홀딩스,-17.454,2204.0,87.91,16.652,832.0,32.68
012030,DB,28.098,371.0,14.76,-19.976,1414.0,55.56
005830,DB손해보험,,,,8.498,963.0,37.83
016610,DB증권,9.242,881.0,35.12,190.464,185.0,7.24
000990,DB하이텍,-1.998,1645.0,65.6,-28.104,1547.0,60.79
099520,DGI,59.506,155.0,6.15,-111.454,2182.0,85.76
060900,DGP,-35.189,2402.0,95.81,5.277,1016.0,39.91
000300,DH오토넥스,-1.25,1600.0,63.81,-75.524,2003.0,78.73
290120,DH오토리드,14.772,661.0,26.34,4.848,1026.0,40.31
025440,DH오토웨어,-5.393,1834.0,73.14,-31.69,1601.0,62.92
015590,DKME,-0.457,1562.0,62.29,-22.21,1444.0,56.74
000210,DL,11.909,756.0,30.13,173.741,207.0,8.1
375500,DL이앤씨,4.097,1196.0,47.69,-18.059,1393.0,54.74
068790,DMS,3.72,1223.0,48.76,19.502,789.0,30.99
007340,DN오토모티브,5.056,1131.0,45.09,6.633,996.0,39.13
004840,DRB동일,2.021,1341.0,53.47,-38.989,1686.0,66.26
241520,DSC인베스트먼트,15.08,654.0,26.06,-14.765,1338.0,52.58
155660,DSR,2.994,1274.0,50.8,-36.771,1662.0,65.32
069730,DSR제강,1.234,1418.0,56.54,-16.956,1371.0,53.87
017860,DS단석,-10.156,2008.0,80.09,-84.014,2045.0,80.38
180400,DXVX,-17.693,2209.0,88.11,39.792,596.0,23.4
092780,DYP,2.203,1326.0,52.87,-27.081,1532.0,60.2
017940,E1,42.984,233.0,9.26,133.545,262.0,10.26
418620,E8,-37.649,2413.0,96.25,101.881,331.0,12.98
245620,EDGC,-65.407,2476.0,98.76,34.944,635.0,24.93
037370,EG,5.527,1099.0,43.81,-61.916,1905.0,74.87
365550,ESR켄달스퀘어리츠,5.515,1102.0,43.93,19.063,799.0,31.38
050120,ES큐브,-74.465,2491.0,99.36,-134.691,2248.0,88.36
383220,F&F,-4.169,1768.0,70.51,-18.32,1397.0,54.9
007700,F&F 홀딩스,-4.43,1788.0,71.31,-19.056,1405.0,55.21
