ticker,corp_name,ROE,ROE_순위,ROE_하위(%),영업이익률,영업이익률_순위,영업이익률_하위(%)
060310,3S,5.52,1012.0,39.77,-20.09,2175.0,86.93
095570,AJ네트웍스,5.004,1079.0,42.41,7.18,673.0,26.87
006840,AK홀딩스,-1.306,1687.0,66.33,2.9,1244.0,49.7
054620,APS,-1.531,1699.0,66.8,-24.09,2207.0,88.2
265520,AP시스템,15.742,256.0,10.03,9.13,513.0,20.47
211270,AP위성,10.413,528.0,20.73,12.45,334.0,13.31
109960,AP헬스케어,-9.513,1966.0,77.3,5.89,824.0,32.91
139050,BF랩스,-73.694,2453.0,96.46,-56.83,2354.0,94.08
027410,BGF,4.883,1092.0,42.92,12.72,321.0,12.79
282330,BGF리테일,17.287,213.0,8.34,2.89,1250.0,49.94
126600,BGF에코머티리얼즈,3.328,1260.0,49.53,3.85,1094.0,43.7
138930,BNK금융지주,6.874,858.0,33.71,8.73,542.0,21.63
001460,BYC,3.395,1251.0,49.17,14.43,265.0,10.56
013720,CBI,-26.816,2220.0,87.29,5.76,840.0,33.55
083790,CG인바이츠,-38.941,2336.0,91.86,-535.12,2486.0,99.36
001040,CJ,0.848,1533.0,60.27,5.84,831.0,33.19
079160,CJ CGV,-41.879,2351.0,92.45,3.88,1087.0,43.42
035760,CJ ENM,-14.788,2066.0,81.24,2.0,1390.0,55.54
311690,CJ 바이오사이언스,-44.003,2367.0,93.08,-987.76,2501.0,99.96
000120,CJ대한통운,6.49,896.0,35.21,4.38,1018.0,40.66
011150,CJ씨푸드,6.209,930.0,36.55,2.25,1350.0,53.94
097950,CJ제일제당,3.012,1302.0,51.18,5.29,903.0,36.07
051500,CJ프레시웨이,6.983,839.0,32.97,2.92,1241.0,49.58
058820,CMG제약,1.419,1476.0,58.03,1.03,1525.0,60.94
023460,CNH,-275.572,2532.0,99.57,-42.75,2311.0,92.36
056730,CNT85,-1.881,1714.0,67.39,-2.1,1778.0,71.05
065770,CS,6.077,951.0,37.37,-0.54,1703.0,68.05
083660,CSA 코스믹,-32.17,2283.0,89.77,-10.37,2031.0,81.17
000590,CS홀딩스,10.447,523.0,20.54,15.72,220.0,8.76
012030,DB,23.506,109.0,4.25,5.04,935.0,37.35
005830,DB손해보험,18.819,171.0,6.69,11.11,397.0,15.83
016610,DB증권,4.509,1137.0,44.69,4.69,980.0,39.14
000990,DB하이텍,12.264,408.0,16.01,16.87,191.0,7.6
099520,DGI,4.658,1117.0,43.9,2.35,1331.0,53.18
060900,DGP,-28.356,2244.0,88.24,-42.44,2308.0,92.24
000300,DH오토넥스,0.0,1603.0,63.02,-22.63,2196.0,87.76
290120,DH오토리드,2.523,1360.0,53.46,6.12,794.0,31.71
025440,DH오토웨어,-3.77,1798.0,70.69,0.51,1604.0,64.09
015590,DKME,1.804,1437.0,56.49,7.34,661.0,26.39
000210,DL,2.035,1411.0,55.47,7.35,659.0,26.31
375500,DL이앤씨,4.768,1106.0,43.47,3.26,1185.0,47.34
068790,DMS,10.845,494.0,19.39,20.25,121.0,4.8
007340,DN오토모티브,17.852,197.0,7.71,15.22,242.0,9.64
004840,DRB동일,2.593,1346.0,52.91,2.91,1242.0,49.62
241520,DSC인베스트먼트,9.571,585.0,22.97,38.71,24.0,0.92
155660,DSR,6.416,906.0,35.6,5.12,922.0,36.83
069730,DSR제강,-15.701,2078.0,81.71,9.05,518.0,20.67
017860,DS단석,-3.659,1793.0,70.5,1.27,1495.0,59.74
180400,DXVX,-228.053,2528.0,99.41,-63.62,2366.0,94.56
092780,DYP,6.539,893.0,35.09,2.25,1350.0,53.94
017940,E1,3.375,1254.0,49.29,1.94,1394.0,55.7
418620,E8,0.0,1603.0,63.02,-463.75,2482.0,99.2
245620,EDGC,-209.605,2524.0,99.25,-41.27,2303.0,92.04
037370,EG,-22.567,2172.0,85.41,-8.38,1995.0,79.73
365550,ESR켄달스퀘어리츠,2.024,1413.0,55.55,,,
050120,ES큐브,1.08,1510.0,59.36,-23.14,2199.0,87.88
383220,F&F,24.591,99.0,3.86,23.77,81.0,3.2
007700,F&F 홀딩스,9.809,565.0,22.19,21.93,99.0,3.92
214270,FSN,-64.292,2429.0,95.52,0.31,1630.0,65.13
130500,GH신소재,6.638,883.0,34.7,9.16,512.0,20.43
114090,GKL,8.011,726.0,28.52,9.67,483.0,19.27
900290,GRT,13.149,346.0,13.57,17.45,179.0,7.12
078930,GS,4.785,1105.0,43.43,12.1,346.0,13.79
083450,GST,18.294,188.0,7.36,17.06,184.0,7.32
006360,GS건설,5.293,1048.0,41.19,2.22,1358.0,54.26
001250,GS글로벌,11.047,481.0,18.88,1.92,1398.0,55.86
007070,GS리테일,0.257,1589.0,62.47,2.06,1379.0,55.1
499790,GS피앤엘,,,,-0.1,1672.0,66.81
297890,HB솔루션,-9.209,1961.0,77.1,14.7,253.0,10.08
440290,HB인베스트먼트,8.281,692.0,27.18,42.86,17.0,0.64
078150,HB테크놀러지,-18.167,2115.0,83.16,-10.17,2028.0,81.05
012630,HDC,5.199,1056.0,41.5,5.56,865.0,34.55
039570,HDC랩스,7.215,810.0,31.83,1.02,1528.0,61.06
