ticker,corp_name,유동비율,유동비율_순위,유동비율_하위(%),부채비율,부채비율_순위,부채비율_하위(%)
060310,3S,184.322,1111.0,44.45,31.69,1851.0,72.46
095570,AJ네트웍스,48.245,2390.0,95.67,287.127,178.0,6.93
006840,AK홀딩스,50.349,2378.0,95.19,328.655,144.0,5.6
054620,APS,64.811,2277.0,91.15,83.067,1060.0,41.48
265520,AP시스템,190.684,1075.0,43.01,78.224,1137.0,44.5
211270,AP위성,405.827,484.0,19.34,28.451,1913.0,74.89
109960,AP헬스케어,169.226,1210.0,48.42,10.944,2354.0,92.17
139050,BF랩스,39.75,2419.0,96.84,95.087,920.0,36.0
027410,BGF,272.671,739.0,29.56,16.146,2220.0,86.92
282330,BGF리테일,81.149,2131.0,85.3,187.349,369.0,14.41
126600,BGF에코머티리얼즈,181.422,1124.0,44.97,44.807,1597.0,62.51
138930,BNK금융지주,,,,1267.746,15.0,0.55
001460,BYC,256.172,799.0,31.96,26.755,1946.0,76.18
013720,CBI,132.966,1541.0,61.67,35.212,1779.0,69.64
083790,CG인바이츠,94.828,1963.0,78.57,115.619,748.0,29.26
001040,CJ,81.027,2134.0,85.42,167.643,441.0,17.23
079160,CJ CGV,45.731,2400.0,96.08,593.03,74.0,2.86
035760,CJ ENM,76.281,2184.0,87.42,153.302,511.0,19.98
311690,CJ 바이오사이언스,414.364,471.0,18.82,28.105,1921.0,75.21
000120,CJ대한통운,92.875,1987.0,79.54,130.591,649.0,25.38
011150,CJ씨푸드,101.542,1897.0,75.93,106.962,821.0,32.12
097950,CJ제일제당,85.834,2068.0,82.78,146.267,548.0,21.43
051500,CJ프레시웨이,80.233,2142.0,85.74,276.609,195.0,7.6
058820,CMG제약,180.668,1126.0,45.05,60.089,1359.0,53.19
023460,CNH,,,,-1633.28,2551.0,99.88
056730,CNT85,379.143,532.0,21.27,25.886,1969.0,77.09
065770,CS,393.564,503.0,20.1,28.962,1902.0,74.46
083660,CSA 코스믹,159.73,1305.0,52.22,109.834,800.0,31.3
000590,CS홀딩스,1125.134,121.0,4.81,9.295,2404.0,94.12
012030,DB,87.947,2040.0,81.66,120.672,711.0,27.81
005830,DB손해보험,,,,608.173,72.0,2.78
016610,DB증권,,,,808.875,50.0,1.92
000990,DB하이텍,376.931,535.0,21.39,19.801,2132.0,83.47
099520,DGI,1369.309,83.0,3.28,10.191,2381.0,93.22
060900,DGP,142.181,1460.0,58.43,51.846,1481.0,57.97
000300,DH오토넥스,96.472,1939.0,77.61,154.341,502.0,19.62
290120,DH오토리드,123.733,1654.0,66.2,184.105,373.0,14.57
025440,DH오토웨어,83.502,2105.0,84.26,372.712,128.0,4.97
015590,DKME,184.967,1109.0,44.37,68.823,1250.0,48.92
000210,DL,108.973,1803.0,72.17,161.911,458.0,17.9
375500,DL이앤씨,155.804,1344.0,53.78,100.433,875.0,34.23
068790,DMS,169.783,1205.0,48.22,35.11,1782.0,69.76
007340,DN오토모티브,147.265,1418.0,56.75,130.611,648.0,25.34
004840,DRB동일,117.19,1723.0,68.96,88.695,987.0,38.62
241520,DSC인베스트먼트,104.269,1860.0,74.45,38.099,1727.0,67.61
155660,DSR,137.845,1489.0,59.59,55.163,1439.0,56.33
069730,DSR제강,240.432,863.0,34.52,35.955,1768.0,69.21
017860,DS단석,102.601,1880.0,75.25,159.971,473.0,18.49
180400,DXVX,157.948,1324.0,52.98,342.442,138.0,5.37
092780,DYP,113.066,1760.0,70.44,194.193,349.0,13.63
017940,E1,91.637,2001.0,80.1,564.197,80.0,3.09
418620,E8,92.874,1988.0,79.58,247.711,236.0,9.2
245620,EDGC,39.003,2426.0,97.12,2964.473,4.0,0.12
037370,EG,16.091,2482.0,99.36,467.409,100.0,3.88
365550,ESR켄달스퀘어리츠,166.624,1238.0,49.54,132.809,633.0,24.76
050120,ES큐브,1286.258,100.0,3.96,5.249,2500.0,97.88
383220,F&F,121.966,1672.0,66.92,44.925,1595.0,62.44
007700,F&F 홀딩스,130.895,1570.0,62.84,19.685,2140.0,83.78
214270,FSN,89.388,2026.0,81.1,238.776,258.0,10.07
130500,GH신소재,82.357,2118.0,84.78,95.17,919.0,35.96
114090,GKL,221.207,932.0,37.28,49.012,1531.0,59.93
900290,GRT,274.834,733.0,29.32,82.144,1078.0,42.19
078930,GS,94.168,1971.0,78.89,89.836,971.0,37.99
083450,GST,344.543,581.0,23.23,24.799,1996.0,78.14
006360,GS건설,95.955,1947.0,77.93,249.968,233.0,9.09
001250,GS글로벌,140.745,1471.0,58.87,153.866,506.0,19.78
007070,GS리테일,78.019,2161.0,86.5,138.303,599.0,23.42
499790,GS피앤엘,14.842,2485.0,99.48,83.51,1052.0,41.17
297890,HB솔루션,211.583,975.0,39.01,32.768,1834.0,71.8
440290,HB인베스트먼트,,,,5.225,2501.0,97.92
078150,HB테크놀러지,143.697,1445.0,57.83,35.882,1769.0,69.25
012630,HDC,148.238,1410.0,56.43,143.161,565.0,22.09
039570,HDC랩스,179.018,1141.0,45.65,63.795,1317.0,51.55
089470,HDC현대EP,171.566,1190.0,47.62,89.651,975.0,38.15
294870,HDC현대산업개발,153.286,1363.0,54.55,139.578,591.0,23.11
009540,HD한국조선해양,105.725,1839.0,73.61,159.393,476.0,18.61
267250,HD현대,110.082,1794.0,71.81,179.956,391.0,15.28
267270,HD현대건설기계,198.661,1033.0,41.33,85.337,1027.0,40.19
443060,HD현대마린솔루션,313.914,649.0,25.95,48.956,1533.0,60.01
071970,HD현대마린엔진,162.45,1276.0,51.06,59.988,1360.0,53.23
010620,HD현대미포,102.993,1873.0,74.97,142.537,570.0,22.29
322000,HD현대에너지솔루션,454.525,418.0,16.7,22.747,2047.0,80.14
042670,HD현대인프라코어,155.024,1347.0,53.9,132.089,639.0,24.99
267260,HD현대일렉트릭,138.113,1486.0,59.47,151.775,521.0,20.37
329180,HD현대중공업,88.19,2038.0,81.58,239.927,256.0,9.99
097230,HJ중공업,69.009,2243.0,89.79,541.948,83.0,3.21
195940,HK이노엔,83.081,2110.0,84.46,51.0,1495.0,58.52
014790,HL D&I,95.049,1957.0,78.33,258.744,220.0,8.58
028300,HLB,107.195,1825.0,73.05,36.084,1764.0,69.06
003580,HLB글로벌,132.626,1545.0,61.83,42.974,1630.0,63.81
278650,HLB바이오스텝,134.985,1517.0,60.71,44.1,1610.0,63.02
067630,HLB생명과학,290.011,705.0,28.19,35.151,1781.0,69.72
024850,HLB이노베이션,409.597,478.0,19.1,6.361,2474.0,96.87
187420,HLB제넥스,107.254,1824.0,73.01,418.267,115.0,4.47
047920,HLB제약,164.064,1262.0,50.5,35.68,1773.0,69.41
115450,HLB테라퓨틱스,169.647,1206.0,48.26,20.853,2108.0,82.53
046210,HLB파나진,242.025,858.0,34.32,43.983,1612.0,63.1
196300,HLB펩,71.0,2227.0,89.15,206.952,309.0,12.06
204320,HL만도,126.767,1621.0,64.88,163.849,455.0,17.78
060980,HL홀딩스,65.38,2271.0,90.91,122.695,694.0,27.14
011200,HMM,763.488,210.0,8.37,21.515,2088.0,81.75
403870,HPSP,580.35,303.0,12.09,15.108,2245.0,87.9
036640,HRS,869.771,178.0,7.09,10.739,2362.0,92.48
035000,HS애드,146.28,1426.0,57.07,172.554,420.0,16.41
002460,HS화성,141.132,1468.0,58.75,117.652,733.0,28.67
487570,HS효성,120.907,1683.0,67.36,106.653,825.0,32.28
298050,HS효성첨단소재,63.327,2295.0,91.87,230.133,268.0,10.46
015360,INVENI,78.052,2160.0,86.46,154.645,500.0,19.55
095340,ISC,775.006,206.0,8.21,11.42,2343.0,91.74
175330,JB금융지주,,,,1065.488,25.0,0.94
950170,JTC,207.866,982.0,39.29,222.766,277.0,10.81
234080,JW생명과학,131.785,1562.0,62.52,62.301,1340.0,52.45
067290,JW신약,83.981,2097.0,83.94,137.249,605.0,23.66
001060,JW중외제약,146.88,1420.0,56.83,83.497,1053.0,41.21
096760,JW홀딩스,90.647,2006.0,80.3,139.858,586.0,22.91
035900,JYP Ent.,207.213,988.0,39.53,40.569,1679.0,65.73
318000,KBG,497.946,357.0,14.26,14.977,2247.0,87.97
024840,KBI메탈,179.661,1137.0,45.49,97.664,900.0,35.21
105560,KB금융,,,,1166.979,21.0,0.78
432320,KB스타리츠,759.953,212.0,8.45,177.179,399.0,15.59
024120,KB오토시스,120.524,1685.0,67.44,102.3,863.0,33.76
021320,KCC건설,133.587,1536.0,61.47,190.75,361.0,14.1
009440,KC그린홀딩스,103.867,1867.0,74.73,67.232,1270.0,49.71
119650,KC코트렐,137.827,1491.0,59.67,244.824,244.0,9.52
044180,KD,119.022,1703.0,68.16,690.103,64.0,2.47
092220,KEC,297.592,691.0,27.63,29.031,1900.0,74.38
046440,KG모빌리언스,211.744,972.0,38.89,55.185,1438.0,56.29
003620,KG모빌리티,115.189,1741.0,69.68,118.54,726.0,28.4
016380,KG스틸,104.951,1854.0,74.21,70.459,1234.0,48.3
151860,KG에코솔루션,102.299,1886.0,75.49,109.988,797.0,31.18
035600,KG이니시스,86.434,2056.0,82.3,147.681,539.0,21.07
001390,KG케미칼,97.251,1936.0,77.49,116.214,743.0,29.06
226360,KH 건설,246.625,832.0,33.28,33.452,1819.0,71.21
111870,KH 미래물산,446.53,430.0,17.18,21.6,2085.0,81.63
033180,KH 필룩스,32.539,2446.0,97.92,115.369,750.0,29.34
060720,KH바텍,124.82,1643.0,65.76,47.554,1559.0,61.03
001940,KISCO홀딩스,1286.382,99.0,3.92,9.581,2396.0,93.81
058400,KNN,532.831,328.0,13.1,7.236,2451.0,95.97
025000,KPX케미칼,291.58,701.0,28.03,25.58,1977.0,77.4
092230,KPX홀딩스,264.381,766.0,30.64,30.176,1882.0,73.68
000040,KR모터스,39.525,2421.0,96.92,161.229,465.0,18.17
044450,KSS해운,48.244,2391.0,95.71,257.321,221.0,8.62
101000,KS인더스트리,139.575,1476.0,59.07,78.703,1129.0,44.18
058850,KTcs,155.935,1341.0,53.66,114.384,762.0,29.81
058860,KTis,104.993,1852.0,74.13,125.814,669.0,26.17
089600,KT나스미디어,174.288,1172.0,46.9,105.802,836.0,32.71
418470,KT밀리의서재,480.949,380.0,15.18,25.225,1983.0,77.63
043610,KT지니뮤직,150.703,1385.0,55.43,55.894,1426.0,55.82
122450,KX,107.575,1822.0,72.93,100.183,877.0,34.31
052900,KX하이텍,178.823,1143.0,45.73,62.897,1327.0,51.94
036560,KZ정밀,442.564,438.0,17.5,25.306,1982.0,77.59
061970,LB세미콘,63.723,2291.0,91.71,132.803,634.0,24.79
309960,LB인베스트먼트,1459.866,71.0,2.8,8.921,2419.0,94.71
093050,LF,251.649,815.0,32.6,64.429,1303.0,51.0
003550,LG,225.593,912.0,36.48,12.465,2323.0,90.95
034220,LG디스플레이,63.831,2290.0,91.67,307.04,161.0,6.27
051900,LG생활건강,220.391,936.0,37.44,30.248,1880.0,73.6
064400,LG씨엔에스,185.46,1105.0,44.21,112.195,779.0,30.47
373220,LG에너지솔루션,127.146,1614.0,64.6,94.748,923.0,36.11
032640,LG유플러스,102.885,1876.0,75.09,124.759,677.0,26.48
011070,LG이노텍,147.998,1413.0,56.55,112.523,777.0,30.4
066570,LG전자,124.228,1649.0,66.0,160.314,471.0,18.41
037560,LG헬로비전,122.836,1664.0,66.6,180.018,388.0,15.16
051910,LG화학,131.917,1556.0,62.27,95.555,916.0,35.84
079550,LIG넥스원,84.362,2087.0,83.54,394.997,120.0,4.66
225190,LK삼양,202.264,1012.0,40.49,55.698,1430.0,55.97
006260,LS,122.682,1666.0,66.68,198.321,333.0,13.0
000680,LS네트웍스,86.346,2059.0,82.42,931.497,33.0,1.25
060370,LS마린솔루션,374.362,541.0,21.63,22.153,2067.0,80.92
417200,LS머트리얼즈,283.062,720.0,28.79,22.199,2064.0,80.81
229640,LS에코에너지,135.56,1509.0,60.39,148.093,535.0,20.92
078020,LS증권,,,,907.516,37.0,1.41
322180,LS티라유텍,126.89,1619.0,64.8,117.624,734.0,28.71
108320,LX세미콘,319.551,637.0,25.47,38.924,1709.0,66.9
001120,LX인터내셔널,134.732,1521.0,60.87,169.033,435.0,17.0
108670,LX하우시스,111.078,1783.0,71.37,170.648,423.0,16.53
383800,LX홀딩스,1949.564,38.0,1.48,1.909,2538.0,99.37
476080,M83,229.272,897.0,35.88,48.193,1547.0,60.56
086960,MDS테크,190.73,1074.0,42.97,59.844,1364.0,53.39
023150,MH에탄올,20.791,2475.0,99.08,420.994,112.0,4.35
035420,NAVER,153.885,1359.0,54.39,41.358,1657.0,64.86
160550,NEW,113.142,1759.0,70.4,114.559,759.0,29.69
053290,NE능률,396.876,496.0,19.82,22.69,2049.0,80.22
060250,NHN KCP,161.358,1289.0,51.58,115.059,757.0,29.61
104200,NHN벅스,177.313,1156.0,46.26,34.627,1791.0,70.11
400760,NH올원리츠,12.787,2490.0,99.68,254.586,226.0,8.81
005940,NH투자증권,,,,668.866,69.0,2.66
338100,NH프라임리츠,1337.466,91.0,3.6,1.796,2540.0,99.45
034310,NICE,100.65,1902.0,76.13,152.869,516.0,20.17
063570,NICE인프라,76.178,2187.0,87.55,203.522,315.0,12.3
030190,NICE평가정보,189.473,1082.0,43.29,40.536,1680.0,65.77
008260,NI스틸,65.083,2274.0,91.03,86.109,1018.0,39.84
222160,NPX,1026.904,137.0,5.45,12.98,2309.0,90.4
456040,OCI,197.712,1038.0,41.53,83.876,1048.0,41.01
010060,OCI홀딩스,250.523,817.0,32.68,67.378,1269.0,49.67
178920,PI첨단소재,213.303,965.0,38.61,56.115,1420.0,55.58
001340,PKC,45.21,2403.0,96.2,117.54,736.0,28.79
024940,PN풍년,582.602,300.0,11.97,15.301,2240.0,87.7
005490,POSCO홀딩스,193.286,1056.0,42.25,68.273,1255.0,49.12
332570,PS일렉트로닉스,182.651,1117.0,44.69,82.736,1072.0,41.95
218410,RFHIC,334.431,602.0,24.07,34.917,1785.0,69.88
327260,RF머트리얼즈,251.836,812.0,32.48,62.544,1333.0,52.17
474610,RF시스템즈,237.578,876.0,35.04,64.09,1307.0,51.16
091340,S&K폴리텍,140.242,1473.0,58.95,101.12,869.0,34.0
010950,S-Oil,86.2,2061.0,82.5,181.192,384.0,15.0
419530,SAMG엔터,204.142,1006.0,40.25,216.335,294.0,11.48
019550,SBI인베스트먼트,,,,3.11,2530.0,99.06
950110,SBI핀테크솔루션즈,119.794,1694.0,67.8,894.287,38.0,1.45
034120,SBS,226.311,909.0,36.36,66.848,1276.0,49.94
003080,SB성보,174.1,1173.0,46.94,72.978,1205.0,47.16
246960,SCL사이언스,157.729,1325.0,53.02,55.036,1442.0,56.44
099220,SDN,90.034,2014.0,80.62,149.179,532.0,20.8
036540,SFA반도체,240.951,862.0,34.48,25.221,1984.0,77.67
255220,SG,94.637,1966.0,78.69,168.32,437.0,17.08
040610,SG&G,77.46,2168.0,86.78,19.153,2152.0,84.25
049470,SGA,199.575,1029.0,41.17,15.949,2225.0,87.11
184230,SGA솔루션즈,84.942,2079.0,83.22,106.475,826.0,32.31
016250,SGC E&C,114.243,1748.0,69.96,309.733,156.0,6.07
005090,SGC에너지,80.815,2137.0,85.54,286.868,180.0,7.01
001380,SG글로벌,137.617,1493.0,59.75,33.517,1817.0,71.13
004060,SG세계물산,239.621,865.0,34.6,15.252,2242.0,87.78
001770,SHD,223.341,923.0,36.92,52.886,1472.0,57.62
002360,SH에너지화학,526.429,335.0,13.38,38.047,1730.0,67.72
009160,SIMPAC,133.463,1538.0,61.55,78.372,1133.0,44.34
033530,SJG세종,116.738,1729.0,69.2,170.095,428.0,16.73
034730,SK,94.31,1969.0,78.81,167.76,440.0,17.2
357880,SKAI,51.632,2368.0,94.79,169.556,432.0,16.88
011790,SKC,68.767,2247.0,89.95,194.351,348.0,13.59
018670,SK가스,129.089,1588.0,63.56,175.336,407.0,15.9
001740,SK네트웍스,102.145,1887.0,75.53,151.162,524.0,20.49
006120,SK디스커버리,147.999,1412.0,56.51,133.641,627.0,24.52
210980,SK디앤디,145.914,1428.0,57.15,156.517,487.0,19.04
395400,SK리츠,14.33,2488.0,99.6,250.529,230.0,8.97
302440,SK바이오사이언스,507.639,352.0,14.06,40.601,1678.0,65.69
402340,SK스퀘어,193.561,1055.0,42.21,11.925,2332.0,91.3
361610,SK아이이테크놀로지,59.262,2326.0,93.11,78.535,1130.0,44.22
100090,SK오션플랜트,95.03,1959.0,78.41,99.289,887.0,34.7
096770,SK이노베이션,96.27,1941.0,77.69,178.772,395.0,15.43
475150,SK이터닉스,85.849,2067.0,82.74,202.387,320.0,12.5
001510,SK증권,,,,992.357,29.0,1.1
285130,SK케미칼,242.641,854.0,34.16,76.957,1149.0,44.97
017670,SK텔레콤,81.054,2133.0,85.38,158.0,481.0,18.8
000660,SK하이닉스,169.35,1209.0,48.38,62.151,1342.0,52.53
048550,SM C&C,143.423,1447.0,57.91,179.975,390.0,15.24
063440,SM Life Design,360.422,561.0,22.43,12.471,2322.0,90.91
003570,SNT다이내믹스,323.206,626.0,25.03,30.84,1865.0,73.01
064960,SNT모티브,390.956,510.0,20.38,26.1,1960.0,76.73
100840,SNT에너지,185.344,1106.0,44.25,68.671,1251.0,48.96
036530,SNT홀딩스,317.471,641.0,25.63,32.785,1833.0,71.76
067160,SOOP,189.445,1083.0,43.33,87.154,1008.0,39.44
005610,SPC삼립,105.428,1846.0,73.89,158.591,479.0,18.72
011810,STX,67.592,2255.0,90.27,385.777,122.0,4.74
465770,STX그린로지스,54.769,2353.0,94.19,216.703,293.0,11.44
077970,STX엔진,88.352,2035.0,81.46,250.295,232.0,9.05
002820,SUN&L,53.579,2358.0,94.39,123.368,687.0,26.87
289080,SV인베스트먼트,88.66,2030.0,81.26,26.823,1945.0,76.15
002710,TCC스틸,83.636,2101.0,84.1,121.589,702.0,27.46
089230,THE E&M,38.538,2429.0,97.24,158.003,480.0,18.76
032540,TJ미디어,172.376,1183.0,47.34,46.154,1575.0,61.65
022220,TKG애강,439.15,441.0,17.62,12.135,2330.0,91.23
007980,TP,85.64,2072.0,82.94,210.983,302.0,11.79
048770,TPC,98.333,1927.0,77.13,168.269,438.0,17.12
246690,TS인베스트먼트,,,,9.672,2394.0,93.73
317240,TS트릴리온,53.649,2357.0,94.35,130.883,647.0,25.3
002900,TYM,137.845,1489.0,59.59,105.629,837.0,32.75
024070,WISCOM,505.466,353.0,14.1,14.676,2264.0,88.64
057030,YBM넷,190.448,1079.0,43.17,55.071,1441.0,56.4
037270,YG PLUS,221.195,933.0,37.32,40.506,1681.0,65.8
040300,YTN,449.652,423.0,16.9,57.632,1396.0,54.64
051390,YW,803.886,198.0,7.89,19.448,2146.0,84.02
052220,iMBC,374.897,540.0,21.59,16.945,2199.0,86.09
139130,iM금융지주,,,,1417.119,10.0,0.35
079940,가비아,132.225,1551.0,62.07,83.006,1064.0,41.64
078890,가온그룹,120.198,1690.0,67.64,290.405,174.0,6.78
000500,가온전선,126.329,1627.0,65.12,129.86,652.0,25.5
399720,가온칩스,206.249,994.0,39.77,62.509,1335.0,52.25
036620,감성코퍼레이션,447.49,427.0,17.06,37.23,1745.0,68.31
000860,강남제비스코,162.172,1279.0,51.18,37.556,1739.0,68.08
198440,강동씨앤엘,5.244,2496.0,99.92,227.599,269.0,10.5
217730,강스템바이오텍,368.942,550.0,21.99,29.651,1888.0,73.91
035250,강원랜드,161.855,1283.0,51.34,21.036,2103.0,82.33
114190,강원에너지,151.878,1378.0,55.15,127.988,657.0,25.7
094480,갤럭시아머니트리,134.881,1518.0,60.75,225.226,274.0,10.69
011420,갤럭시아에스엠,563.589,312.0,12.45,10.901,2356.0,92.24
039240,경남스틸,211.364,976.0,39.05,49.438,1524.0,59.66
053950,경남제약,168.164,1221.0,48.86,44.575,1601.0,62.67
002100,경농,154.853,1349.0,53.98,75.533,1170.0,45.79
009450,경동나비엔,126.385,1626.0,65.08,95.404,917.0,35.88
267290,경동도시가스,131.801,1560.0,62.43,112.547,776.0,30.36
012320,경동인베스트,320.397,634.0,25.35,27.739,1927.0,75.44
011040,경동제약,129.837,1580.0,63.24,37.459,1741.0,68.16
000050,경방,58.954,2329.0,93.23,59.861,1362.0,53.31
214390,경보제약,114.534,1744.0,69.8,94.238,926.0,36.23
012610,경인양행,109.923,1796.0,71.89,105.32,839.0,32.82
009140,경인전자,2367.393,28.0,1.08,5.633,2490.0,97.49
024910,경창산업,60.985,2314.0,92.63,242.903,248.0,9.67
013580,계룡건설산업,144.389,1438.0,57.55,220.587,283.0,11.05
012200,계양전기,111.57,1778.0,71.17,247.206,238.0,9.28
002140,고려산업,85.904,2066.0,82.7,165.448,448.0,17.51
049720,고려신용정보,176.77,1159.0,46.38,84.0,1046.0,40.93
010130,고려아연,118.861,1705.0,68.24,94.753,922.0,36.08
002240,고려제강,249.439,821.0,32.84,35.383,1775.0,69.49
014570,고려제약,872.739,177.0,7.05,13.803,2288.0,89.58
348150,고바이오랩,482.436,378.0,15.1,84.032,1044.0,40.85
950190,고스트스튜디오,359.326,564.0,22.55,22.085,2073.0,81.16
098460,고영,786.839,203.0,8.09,16.946,2198.0,86.06
035290,골드앤에스,644.929,273.0,10.89,22.265,2061.0,80.69
215000,골프존,220.439,935.0,37.4,48.981,1532.0,59.97
121440,골프존홀딩스,123.877,1651.0,66.08,40.688,1675.0,65.57
366030,공구우먼,1299.983,98.0,3.88,8.489,2429.0,95.1
009290,광동제약,155.888,1343.0,53.74,89.283,981.0,38.39
014200,광림,728.933,229.0,9.13,8.81,2421.0,94.79
017040,광명전기,112.128,1770.0,70.85,97.381,905.0,35.41
029480,광무,487.922,371.0,14.82,21.006,2105.0,82.41
017900,광전자,669.13,265.0,10.57,9.024,2415.0,94.56
037710,광주신세계,59.662,2321.0,92.91,46.703,1569.0,61.42
026910,광진실업,88.203,2037.0,81.54,280.411,189.0,7.36
030610,교보증권,,,,700.632,61.0,2.35
339770,교촌에프앤비,84.06,2094.0,83.82,92.033,950.0,37.17
053270,구영테크,86.267,2060.0,82.46,194.65,347.0,13.55
007690,국도화학,127.598,1606.0,64.28,86.609,1014.0,39.68
001140,국보,41.767,2415.0,96.68,668.45,70.0,2.7
066620,국보디자인,187.718,1096.0,43.85,52.606,1475.0,57.74
043650,국순당,825.221,192.0,7.65,9.445,2401.0,94.01
