ticker,corp_code,corp_name,modify_date
060310,00378363,3S,20240801
095570,00365387,AJ네트웍스,20250327
006840,00125080,AK홀딩스,20250108
054620,00296078,APS,20250418
265520,01203808,AP시스템,20250404
211270,00874803,AP위성,20250502
109960,00653194,AP헬스케어,20240612
139050,00656021,BF랩스,20250226
027410,00219097,BGF,20221208
282330,01263022,BGF리테일,20231103
126600,00599595,BGF에코머티리얼즈,20231213
138930,00858364,BNK금융지주,20230320
001460,00122579,BYC,20230810
013720,00151605,CBI,20211229
083790,00407814,CG인바이츠,20250331
001040,00148540,CJ,20230109
079160,00303873,CJ CGV,20250326
035760,00265324,CJ ENM,20250207
311690,01071041,CJ 바이오사이언스,20230214
000120,00113410,CJ대한통운,20240326
011150,00129013,CJ씨푸드,20250106
097950,00635134,CJ제일제당,20240701
051500,00127954,CJ프레시웨이,20240626
058820,00380429,CMG제약,20230717
023460,00149266,CNH,20240401
056730,00318662,CNT85,20250430
065770,00303703,CS,20240702
083660,00406037,CSA 코스믹,20240708
000590,00149026,CS홀딩스,20221208
012030,00163345,DB,20221214
005830,00159102,DB손해보험,20230110
016610,00115694,DB증권,20250527
000990,00160843,DB하이텍,20230330
099520,00627029,DGI,20240809
060900,00367695,DGP,20230612
000300,00126089,DH오토넥스,20250502
290120,01182578,DH오토리드,20240229
025440,00110583,DH오토웨어,20250110
015590,00108746,DKME,20250519
000210,00109693,DL,20230502
375500,01524093,DL이앤씨,20240816
068790,00361594,DMS,20230331
007340,00116949,DN오토모티브,20230412
004840,00118266,DRB동일,20230324
241520,01109715,DSC인베스트먼트,20211206
155660,00110608,DSR,20230223
069730,00151298,DSR제강,20221202
017860,00108612,DS단석,20231222
180400,00995993,DXVX,20230821
092780,00117726,DYP,20250425
017940,00165583,E1,20230105
418620,01516890,E8,20250522
245620,01182550,EDGC,20241113
037370,00261054,EG,20231108
278990,01117246,EMB,20230217
365550,01437186,ESR켄달스퀘어리츠,20230119
050120,00175623,ES큐브,20240812
383220,01568413,F&F,20250414
007700,00126487,F&F 홀딩스,20250414
214270,01061497,FSN,20250409
130500,00491938,GH신소재,20230220
114090,00557508,GKL,20241203
900290,01170962,GRT,20181122
078930,00500254,GS,20221227
083450,00540863,GST,20250327
006360,00120030,GS건설,20250218
001250,00138190,GS글로벌,20250429
007070,00140177,GS리테일,20250321
499790,01882845,GS피앤엘,20250218
297890,00523936,HB솔루션,20220907
440290,00309460,HB인베스트먼트,20240220
078150,00255275,HB테크놀러지,20221209
012630,00164636,HDC,20250327
039570,00350312,HDC랩스,20240509
089470,00357935,HDC현대EP,20250327
294870,01310269,HDC현대산업개발,20250327
009540,00164830,HD한국조선해양,20240401
267250,01205709,HD현대,20240130
267270,01205842,HD현대건설기계,20230518
443060,01194689,HD현대마린솔루션,20250326
071970,00406046,HD현대마린엔진,20240814
010620,00164609,HD현대미포,20240415
322000,01199550,HD현대에너지솔루션,20231101
042670,00344287,HD현대인프라코어,20230426
267260,01205851,HD현대일렉트릭,20250326
329180,01390344,HD현대중공업,20240327
097230,00633835,HJ중공업,20240401
195940,01012066,HK이노엔,20240701
014790,00161116,HL D&I,20240925
028300,00199252,HLB,20240418
003580,00169048,HLB글로벌,20240529
